audit_id,audit_category,game_pk,at_bat_number,pitch_number,play_id,status,audit_note
A01,upheld_challenge,822822,6,6,b91704bd-868f-3f71-b44a-903d9b84202b,pass,Explicit upheld; initial/final/ABS calls agree; inventory decrements; Savant fields match
A02,upheld_challenge,822962,20,4,92fbb02d-68b5-3549-bd34-eefe707b9a13,pass,Explicit upheld; initial/final/ABS calls agree; inventory decrements; Savant fields match
A03,upheld_challenge,822979,38,5,d69fdbd4-cf81-31d0-9aa7-66eb36d096a1,pass,Explicit upheld; initial/final/ABS calls agree; inventory decrements; Savant fields match
A04,upheld_challenge,823538,58,4,ce61df1b-2b4f-337a-a82e-8526511109e2,pass,Explicit upheld; initial/final/ABS calls agree; inventory decrements; Savant fields match
A05,upheld_challenge,823212,70,6,f59b91ff-069d-31c8-a2ae-9506a7c1defc,pass,Explicit upheld; initial/final/ABS calls agree; inventory decrements; Savant fields match
A06,upheld_challenge,823049,20,3,8d950185-556c-364a-be6e-1492e2ef25c1,pass,Explicit upheld; initial/final/ABS calls agree; inventory decrements; Savant fields match
A07,upheld_challenge,822824,29,6,ac511d7c-c297-335e-b4a6-72a19b0edbe5,pass,Explicit upheld; initial/final/ABS calls agree; inventory decrements; Savant fields match
A08,upheld_challenge,823200,52,4,0323f310-51af-3ffe-8b35-d2db2fa35a03,pass,Explicit upheld; initial/final/ABS calls agree; inventory decrements; Savant fields match
A09,upheld_challenge,822973,62,6,ca003bce-8a97-35a8-929c-acd2802e063f,pass,Explicit upheld; initial/final/ABS calls agree; inventory decrements; Savant fields match
A10,upheld_challenge,824256,88,6,2c0c69d3-d12b-321e-b593-377ce38de4da,pass,Explicit upheld; initial/final/ABS calls agree; inventory decrements; Savant fields match
A11,zero_inventory_correctable,823563,22,1,92e446e8-6bd5-395d-be4a-6d0b10747edf,pass,No challenge; adverse inventory is zero; geometry reverses adverse initial call
A12,zero_inventory_correctable,823219,48,3,2cde02ee-4795-3b5d-b29d-18ae4b6d8a50,pass,No challenge; adverse inventory is zero; geometry reverses adverse initial call
A13,zero_inventory_correctable,824016,34,2,8a31d703-d2e6-3c71-899c-8ac7f26252eb,pass,No challenge; adverse inventory is zero; geometry reverses adverse initial call
A14,zero_inventory_correctable,823603,57,1,015d3ebc-da43-3f64-b410-49749741b2ff,pass,No challenge; adverse inventory is zero; geometry reverses adverse initial call
A15,zero_inventory_correctable,823054,69,1,f4721865-fa5a-3a8e-8c99-f241260a8562,pass,No challenge; adverse inventory is zero; geometry reverses adverse initial call
A16,zero_inventory_correctable,823718,58,6,9987029f-50ee-3d58-af2c-9ebcc85de12e,pass,No challenge; adverse inventory is zero; geometry reverses adverse initial call
A17,zero_inventory_correctable,824117,37,4,39d8b3c7-bf24-31e2-b45d-d49db9630f58,pass,No challenge; adverse inventory is zero; geometry reverses adverse initial call
